Study_Hours_Per_Week,Attendance_Percentage,Previous_Grades,Family_Income,Dropped_Out
17.6,90.7,74.1,69149.19,0
24.5,75.8,79.8,54179.74,0
28.7,95.2,82.2,74654.73,0
25.5,84.6,79.1,97152.0,0
1.9,40.5,63.9,58080.17,1
6.2,54.4,37.4,13341.8,1
4.7,29.7,37.2,22683.64,1
24.2,84.0,69.1,52534.87,0
6.5,37.9,47.3,25137.59,1
18.0,100.0,143.74712467770638,57873.75,0
12.3,93.3,69.5,86710.78,0
8.7,37.4,37.0,26656.89,1
5.2,,31.6,48224.55,1
17.4,85.2,74.5,82573.97,0
21.8,86.6,82.9,67370.04,0
22.5,90.2,86.6,108305.29,0
4.7,57.3,47.7,42483.86,1
4.8,37.4,58.1,41021.46,1
4.2,60.0,30.7,38068.16,1
4.1,,27.7,35578.19,1
16.7,91.2,81.8,59767.12,0
3.4,52.1,38.4,51387.31,1
5.5,38.9,41.1,27738.86,1
19.4,89.1,88.1,64828.71,0
10.7,97.6,74.0,51103.52,0
7.3,83.6,88.7,56422.6,0
5.2,94.9,78.0,42687.93,0
2.5,44.0,43.7,44355.06,1
11.7,95.1,68.3,92033.49,0
7.1,90.1,64.2,67590.24,0
15.1,88.4,62.3,53162.89,0
21.8,89.0,73.4,92052.53,0
,83.6,91.1,51404.99,0
23.9,89.5,93.9,28347.1,0
11.7,83.4,74.0,95726.14,0
27.5,99.5,87.2,33283.67,0
1.3,41.9,64.5,44846.43,1
3.8,50.8,35.9,25818.9,1
23.7,84.4,80.5,116977.52,0
22.5,95.4,84.6,59053.3,0
16.0,76.0,76.1,63646.17,0
13.0,73.9,75.7,82013.05,0
24.1,97.6,67.6,88306.37,0
0.0,42.4,56.4,35705.93,1
16.3,80.2,72.1,77799.72,0
26.8,83.4,86.3,79637.03,0
18.2,74.4,83.2,51465.21,0
19.1,74.1,83.5,75145.72,0
21.6,88.6,92.8,47058.61,0
21.0,97.3,66.3,60443.16,0
9.2,80.2,97.1,60009.7,0
6.2,33.2,58.2,33533.73,1
0.0,45.6,28.4,56982.01,1
20.9,85.5,80.5,62657.69,0
19.7,76.5,72.4,65711.37,0
19.4,76.8,80.5,60575.94,0
2.4,29.0,49.3,56960.12,1
18.4,74.2,95.2,49077.12,0
13.1,80.6,85.2,56399.77,0
22.2,83.2,94.3,78996.36,0
20.1,82.0,81.2,64707.83,0
14.0,85.9,82.2,51384.13,0
13.5,91.3,94.3,62204.87,0
18.6,78.6,89.3,100940.66,0
12.1,86.6,79.7,75019.62,0
16.1,100.0,66.8,65480.58,0
20.4,79.1,82.1,18317.44,0
19.2,92.9,76.8,101253.7,0
22.8,86.0,86.6,56665.51,0
20.8,86.7,69.8,92954.32,0
4.0,18.4,38.3,26820.91,1
18.3,84.2,86.8,47595.12,0
4.0,57.4,47.7,31411.59,1
,100.0,69.9,70450.91,0
20.4,82.3,68.2,63451.0,0
2.0,35.3,28.4,47454.79,1
24.7,83.6,87.0,26581.66,0
5.5,64.6,36.3,77784.25,1
3.1,26.2,39.1,34021.92,1
17.2,82.0,82.3,54137.94,0
25.9,79.4,74.0,47407.75,0
11.7,96.3,78.8,72731.02,0
13.7,72.2,88.0,52424.29,0
6.8,49.4,40.5,36266.3,1
3.4,70.7,42.0,31782.51,1
21.4,87.7,75.4,63013.68,0
26.8,100.0,87.5,89915.25,0
6.0,20.0,42.3,34536.38,1
30.2,97.6,88.5,66608.22,0
14.7,77.5,70.8,56112.48,0
,,39.0,19148.57,1
16.1,97.5,86.3,68114.67,0
19.5,91.1,87.0,78640.67,0
9.8,80.5,76.5,85765.6,0
21.5,93.3,73.6,54183.96,0
22.4,79.0,84.0,89989.28,0
17.1,100.0,90.0,72272.55,0
15.3,84.3,97.6,57935.54,0
0.0,37.7,37.3,61780.65,1
24.2,89.3,70.5,35052.74,0
19.7,84.0,73.3,67645.41,0
1.4,78.9,39.7,51217.99,1
,89.8,72.7,19047.87,0
12.2,91.8,75.8,87399.19,0
1.8,48.0,36.8,55008.22,1
14.4,82.9,83.0,73661.4,0
9.4,53.5,37.2,37644.96,1
22.7,94.8,87.0,93901.0,0
13.5,76.6,74.1,41233.91,0
19.3,85.8,73.7,77880.04,0
5.0,46.5,33.6,39137.71,1
22.8,100.0,75.5,81349.71,0
2.7,40.7,47.9,29558.7,1
19.6,86.6,79.3,52551.33,0
2.4,50.8,47.6,42321.72,1
7.4,80.8,64.8,96362.91,0
12.5,,88.1,77719.82,0
18.7,89.2,65.3,64797.11,0
